證券代號,證券名稱,成交股數,成交筆數,成交金額,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示買量,最後揭示賣價,最後揭示賣量,本益比
1101,台泥,8723219,4196,284872138,32.60,32.80,32.55,32.60,-,0.10,32.60,124,32.65,83,27.63
1101B,台泥乙特,20059,7,984943,49.10,49.15,49.10,49.15,+,0.05,48.65,6,49.15,12,0.00
1102,亞泥,1280868,918,51261908,39.80,40.10,39.80,40.10,+,0.10,39.95,1,40.10,139,13.97
1103,嘉泥,56384,121,1020449,18.05,18.15,18.00,18.15,+,0.10,18.10,1,18.15,22,69.81
1104,環泥,324169,291,9374832,28.85,29.15,28.85,28.85,-,0.10,28.85,30,28.90,4,8.61
1108,幸福,61894,52,945954,15.25,15.30,15.25,15.30,+,0.05,15.30,7,15.35,12,8.32
1109,信大,77493,81,1382513,17.80,17.90,17.80,17.85, ,0.00,17.80,29,17.85,3,10.50
1110,東泥,70085,36,1287458,18.40,18.50,18.25,18.30,-,0.10,18.25,2,18.35,8,38.94
1201,味全,189680,174,3578278,18.85,18.95,18.80,18.85, ,0.00,18.85,5,18.90,4,67.32
1203,味王,4995,61,279902,56.30,56.30,55.80,55.80,-,0.40,55.40,3,56.20,1,32.44
1210,大成,1106039,1532,64360163,58.10,58.70,57.90,58.20,+,0.10,58.10,6,58.20,4,13.23
1213,大飲,23648,27,166166,7.08,7.08,7.05,7.07,+,0.02,7.06,1,7.07,4,0.00
1215,卜蜂,357441,538,34471693,96.80,96.80,96.00,96.80, ,0.00,96.70,2,96.80,16,14.03
1216,統一,3586744,2345,256349825,71.10,71.70,71.10,71.50,-,0.20,71.40,12,71.50,268,21.03
1217,愛之味,428784,326,5021023,11.65,11.75,11.65,11.75,+,0.05,11.70,56,11.75,117,35.61
1218,泰山,361197,322,7618146,20.95,21.15,20.90,21.10,+,0.15,21.10,17,21.15,22,1.97
1219,福壽,136127,130,2593959,19.05,19.10,19.00,19.10,+,0.10,19.05,13,19.10,9,25.47
1220,台榮,84592,76,1176985,13.80,14.00,13.80,13.95,+,0.15,13.90,8,13.95,1,31.70
1225,福懋油,1300,8,68969,53.10,53.10,53.10,53.10,X,0.00,53.20,2,53.70,1,46.58
1227,佳格,157302,237,5937716,37.65,37.80,37.65,37.75, ,0.00,37.70,47,37.75,24,29.04
1229,聯華,1114109,1291,73318964,65.00,66.20,64.90,66.00,+,1.20,65.90,6,66.00,111,26.09
1231,聯華食,80889,237,6988108,85.80,86.80,85.80,86.50,+,0.70,86.40,14,86.70,1,28.08
1232,大統益,27364,94,3868775,140.50,142.00,140.50,142.00,+,1.50,141.50,2,142.00,16,20.23
1233,天仁,3054,16,105066,34.15,34.50,34.15,34.50,+,0.35,34.20,1,34.35,1,30.00
1234,黑松,105433,113,4208125,39.90,40.00,39.75,40.00,+,0.10,40.00,16,40.05,7,16.67
1235,興泰,10000,9,826300,82.00,83.80,82.00,82.70,X,0.00,82.30,2,83.20,1,51.37
1236,宏亞,19612,45,465282,23.80,23.80,23.60,23.60,-,0.05,23.60,5,23.70,1,54.88
1256,鮮活果汁-KY,3784,31,873291,230.50,230.50,230.00,230.00, ,0.00,230.00,1,233.50,1,15.60
1301,台塑,5699554,4265,412605474,71.50,72.90,71.30,72.70,+,1.00,72.60,142,72.70,2,161.56
1303,南亞,3104159,2353,190406057,60.50,61.80,60.40,61.50,+,1.00,61.50,15,61.60,118,89.13
1304,台聚,859147,570,15820386,18.15,18.55,18.10,18.50,+,0.35,18.50,79,18.55,29,30.33
1305,華夏,841186,510,17460324,20.45,20.90,20.45,20.80,+,0.40,20.80,46,20.85,12,37.14
1307,三芳,117491,127,2974605,25.15,25.50,25.15,25.30,-,0.05,25.25,5,25.40,4,14.80
1308,亞聚,567674,465,12763678,22.25,22.60,22.25,22.55,+,0.30,22.50,31,22.55,21,23.49
1309,台達化,1581758,999,25237603,15.55,16.20,15.45,16.05,+,0.65,16.05,15,16.10,34,0.00
1310,台苯,329727,473,4747082,14.30,14.45,14.25,14.45,+,0.20,14.40,12,14.45,20,0.00
1312,國喬,2545809,1043,36872416,14.40,14.60,14.35,14.50,+,0.10,14.50,64,14.55,29,0.00
1312A,國喬特,0,0,0,0,0,0,0, ,0.00,25.70,5,26.00,4,0.00
1313,聯成,2095421,911,30656442,14.40,14.75,14.35,14.70,+,0.40,14.65,19,14.70,62,0.00
1314,中石化,7500483,2359,71541601,9.47,9.60,9.46,9.52,+,0.06,9.52,117,9.53,72,0.00
1315,達新,12402,13,891525,71.90,71.90,71.80,71.80,-,0.10,71.80,12,71.90,13,16.78
1316,上曜,8256169,2795,110526747,13.15,13.75,13.10,13.10,+,0.05,13.10,288,13.15,78,0.00
1319,東陽,21020694,14244,1824959649,87.10,88.50,85.30,86.30,-,0.30,86.30,21,86.40,22,19.88
1321,大洋,48400,51,1762423,36.05,36.50,36.05,36.45,+,0.20,36.35,8,36.50,25,98.51
1323,永裕,25104,15,780889,31.10,31.15,31.10,31.15, ,0.00,31.10,6,31.15,12,22.57
1324,地球,78044,101,1309243,16.90,16.95,16.70,16.70,-,0.30,16.70,22,16.75,1,29.30
1325,恆大,904164,659,33865985,37.25,37.95,37.20,37.55,-,0.05,37.55,2,37.60,13,96.28
1326,台化,4148765,2521,238175052,56.60,57.70,56.50,57.70,+,1.10,57.60,17,57.70,85,360.62
1337,再生-KY,228999,192,1681801,7.27,7.39,7.27,7.36,+,0.09,7.33,5,7.36,13,0.00
1338,廣華-KY,29267,75,1157045,40.35,40.35,39.15,39.35,+,0.35,39.25,1,39.40,1,0.00
1339,昭輝,282906,243,17214244,61.80,61.80,60.50,60.70,-,0.40,60.70,2,60.80,2,13.99
1340,勝悅-KY,58763,195,652739,11.05,11.15,11.00,11.15,+,0.10,11.10,1,11.15,10,0.00
1341,富林-KY,17581,34,1077574,61.20,61.90,60.90,61.90,+,0.20,61.50,1,62.00,4,12.84
1342,八貫,113384,131,13154370,116.00,116.50,115.50,116.50,+,0.50,116.00,6,116.50,2,15.39
1402,遠東新,1863676,1226,57549303,30.90,30.95,30.70,30.95,+,0.10,30.80,17,30.95,111,28.93
1409,新纖,1455964,659,21797368,14.90,15.10,14.90,15.00,+,0.05,14.95,77,15.00,8,34.88
1410,南染,114233,86,4269479,37.40,37.70,37.25,37.30,-,0.15,37.20,7,37.55,1,62.17
1413,宏洲,18154,34,167362,9.29,9.29,9.18,9.20,-,0.09,9.19,2,9.20,7,0.00
1414,東和,36892,66,656906,17.90,17.90,17.75,17.75,-,0.05,17.70,5,17.75,8,253.57
1416,廣豐,139852,211,1627448,11.60,11.70,11.60,11.60,+,0.05,11.60,23,11.65,7,19.66
1417,嘉裕,268133,438,3218867,12.00,12.05,11.95,11.95,-,0.10,11.95,67,12.00,2,37.34
